,mag_x,mag_y,mag_z,pitch(y),roll(x),yaw(z)
2021-02-18 05:21:07.080232,33.75,0.6875,-63.375,0.0,0.0,0.0
2021-02-18 05:21:07.117405,41.75,0.6875,-63.375,0.0,8.0,0.0
2021-02-18 05:21:07.140018,41.75,0.6875,-63.375,0.0625,8.125,-1.625
2021-02-18 05:21:07.162454,42.1875,1.0625,-63.375,0.0625,8.1875,-2.125
2021-02-18 05:21:07.185261,42.1875,1.0625,-63.375,-1.3125,8.3125,-14.3125
2021-02-18 05:21:07.203884,34.1875,1.0625,-63.375,-1.3125,8.375,-14.8125
2021-02-18 05:21:07.218500,33.75,-0.75,-61.1875,-1.3125,0.4375,-15.0625
2021-02-18 05:21:07.231503,33.75,-0.75,-61.1875,,,
2021-02-18 05:21:07.250466,33.75,-0.75,-61.1875,-1.3125,0.4375,-15.8125
2021-02-18 05:21:07.264816,34.1875,-1.0625,-63.375,,,
2021-02-18 05:21:07.282889,34.1875,-1.0625,-63.375,,,
2021-02-18 05:21:07.300402,34.1875,-1.0625,-63.375,,,
2021-02-18 05:21:07.317989,34.1875,-2.25,-62.6875,,,
2021-02-18 05:21:07.337878,34.1875,-2.25,-62.6875,-1.1875,0.25,-18.0625
2021-02-18 05:21:07.350776,34.1875,-2.25,-62.6875,,,
2021-02-18 05:21:07.369848,34.1875,-3.25,-63.375,-1.125,0.0625,-18.8125
2021-02-18 05:21:07.383914,34.1875,-3.25,-63.375,,,
2021-02-18 05:21:07.400766,34.1875,-3.25,-63.375,,,
2021-02-18 05:21:07.420263,33.75,-4.75,-63.0625,-1.125,0.0625,-19.875
2021-02-18 05:21:07.434652,33.75,-4.75,-63.0625,,,
2021-02-18 05:21:07.451776,33.75,-4.75,-63.0625,,,
2021-02-18 05:21:07.468939,21.25,-4.0,-38.0625,,,
2021-02-18 05:21:07.488544,21.25,-4.0,-38.0625,-1.0625,0.125,-21.375
2021-02-18 05:21:07.501339,21.25,-4.0,-38.0625,,,
2021-02-18 05:21:07.518365,20.6875,-5.25,-38.25,,,
2021-02-18 05:21:07.537001,20.6875,-5.25,-38.25,,,
2021-02-18 05:21:07.554064,20.6875,-5.25,-38.25,,,
2021-02-18 05:21:07.571085,20.25,-5.0,-38.0,,,
2021-02-18 05:21:07.590614,20.25,-5.0,-38.0,-1.0,0.125,-23.5
2021-02-18 05:21:07.603464,20.25,-5.0,-38.0,,,
2021-02-18 05:21:07.620054,20.6875,-6.0,-37.875,,,
2021-02-18 05:21:07.639551,20.6875,-6.0,-37.875,-1.0,0.125,-24.625
2021-02-18 05:21:07.652341,20.6875,-6.0,-37.875,,,
2021-02-18 05:21:07.669065,21.0,-7.6875,-38.0625,,,
2021-02-18 05:21:07.688975,21.0,-7.6875,-38.0625,-0.9375,0.1875,-25.8125
2021-02-18 05:21:07.701859,21.0,-7.6875,-38.0625,,,
2021-02-18 05:21:07.718702,20.1875,-7.375,-39.1875,,,
2021-02-18 05:21:07.737365,20.1875,-7.375,-39.1875,,,
2021-02-18 05:21:07.754467,20.1875,-7.375,-39.1875,,,
2021-02-18 05:21:07.771724,20.25,-8.0625,-38.5625,,,
2021-02-18 05:21:07.791261,20.25,-8.0625,-38.5625,-0.875,0.1875,-27.8125
2021-02-18 05:21:07.804100,20.25,-8.0625,-38.5625,,,
2021-02-18 05:21:07.820698,21.0,-9.375,-38.875,,,
2021-02-18 05:21:07.840687,21.0,-9.375,-38.875,-0.875,0.1875,-28.5625
2021-02-18 05:21:07.853566,21.0,-9.375,-38.875,,,
2021-02-18 05:21:07.870297,20.6875,-10.1875,-39.75,,,
2021-02-18 05:21:07.889879,20.6875,-10.1875,-39.75,-0.875,0.1875,-29.125
2021-02-18 05:21:07.902746,20.6875,-10.1875,-39.75,,,
2021-02-18 05:21:07.919559,21.0,-10.0625,-40.375,,,
2021-02-18 05:21:07.938199,21.0,-10.0625,-40.375,,,
2021-02-18 05:21:07.955316,21.0,-10.0625,-40.375,,,
2021-02-18 05:21:07.972375,19.1875,-9.75,-40.875,,,
2021-02-18 05:21:07.991994,19.1875,-9.75,-40.875,-0.875,0.1875,-29.625
2021-02-18 05:21:08.004822,19.1875,-9.75,-40.875,,,
2021-02-18 05:21:08.021409,20.6875,-10.0,-41.375,,,
2021-02-18 05:21:08.041041,20.6875,-10.0,-41.375,-0.875,0.1875,-29.75
2021-02-18 05:21:08.053918,20.6875,-10.0,-41.375,,,
2021-02-18 05:21:08.070542,21.0,-9.25,-42.5,,,
2021-02-18 05:21:08.090439,21.0,-9.25,-42.5,-0.875,0.1875,-29.875
2021-02-18 05:21:08.103290,21.0,-9.25,-42.5,,,
2021-02-18 05:21:08.120223,20.6875,-9.25,-41.25,,,
2021-02-18 05:21:08.138931,20.6875,-9.25,-41.25,,,
2021-02-18 05:21:08.156053,20.6875,-9.25,-41.25,,,
2021-02-18 05:21:08.173191,21.375,-9.6875,-42.1875,,,
2021-02-18 05:21:08.192870,21.375,-9.6875,-42.1875,-0.875,0.1875,-30.1875
2021-02-18 05:21:08.205639,21.375,-9.6875,-42.1875,,,
2021-02-18 05:21:08.223058,20.25,-8.6875,-41.75,,,
