# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.093754999999999901e-02
2.000000000000000000e+00,1.312936354166666618e-02
3.000000000000000000e+00,1.247891250000000146e-02
4.000000000000000000e+00,1.002363562499999916e-02
5.000000000000000000e+00,1.664758229166666409e-02
6.000000000000000000e+00,1.506675535714285807e-02
7.000000000000000000e+00,2.287846249999999498e-02
8.000000000000000000e+00,2.020660347222221973e-02
9.000000000000000000e+00,1.789342812500000282e-02
1.000000000000000000e+01,2.117892499999999428e-02
1.100000000000000000e+01,4.036363645833333791e-02
1.200000000000000000e+01,3.984128389423076400e-02
1.300000000000000000e+01,3.497254910714285570e-02
1.400000000000000000e+01,3.078892729166666023e-02
1.500000000000000000e+01,2.710302812500000116e-02
1.600000000000000000e+01,3.726619595588234746e-02
1.700000000000000000e+01,3.360709687499999210e-02
1.800000000000000000e+01,4.465053075657893222e-02
1.900000000000000000e+01,4.115774312499999310e-02
2.000000000000000000e+01,3.767414494047617579e-02
2.100000000000000000e+01,3.477592499999998532e-02
2.200000000000000000e+01,4.160189823369564444e-02
2.300000000000000000e+01,3.882031666666665992e-02
2.400000000000000000e+01,3.619978474999999141e-02
2.500000000000000000e+01,4.224762812499999187e-02
2.600000000000000000e+01,3.930049166666664540e-02
2.700000000000000000e+01,3.699660982142856380e-02
2.800000000000000000e+01,3.462150571120689579e-02
2.900000000000000000e+01,4.166824208333333446e-02
3.000000000000000000e+01,3.915339979838708406e-02
3.100000000000000000e+01,3.712030937499999350e-02
3.200000000000000000e+01,4.007566751893937296e-02
3.300000000000000000e+01,3.754085919117644554e-02
3.400000000000000000e+01,3.521436437499998739e-02
3.500000000000000000e+01,3.521319548611109851e-02
3.600000000000000000e+01,3.351351917229729305e-02
3.700000000000000000e+01,3.189786052631578273e-02
3.800000000000000000e+01,3.589428533653844788e-02
3.900000000000000000e+01,3.445704687499999419e-02
4.000000000000000000e+01,3.820515403963413437e-02
4.100000000000000000e+01,3.640236874999999706e-02
4.200000000000000000e+01,3.451344331395347909e-02
4.300000000000000000e+01,3.242127443181816449e-02
4.400000000000000000e+01,3.464626208333332347e-02
4.500000000000000000e+01,3.533042255434781787e-02
4.600000000000000000e+01,3.376403829787230637e-02
4.700000000000000000e+01,3.263965833333334898e-02
4.800000000000000000e+01,3.112707665816328434e-02
4.900000000000000000e+01,3.024629500000001331e-02
5.000000000000000000e+01,2.858122708333334788e-02
5.100000000000000000e+01,2.725939711538463359e-02
5.200000000000000000e+01,2.557259351415095555e-02
5.300000000000000000e+01,2.475432789351853652e-02
5.400000000000000000e+01,2.349456085227273963e-02
5.500000000000000000e+01,2.259361607142857872e-02
5.600000000000000000e+01,2.161974808114035598e-02
5.700000000000000000e+01,2.477688297413793359e-02
5.800000000000000000e+01,2.400956869703389437e-02
5.900000000000000000e+01,2.294670541666668159e-02
6.000000000000000000e+01,2.215584487704919808e-02
6.100000000000000000e+01,2.509405443548388612e-02
6.200000000000000000e+01,2.527522837301588582e-02
6.300000000000000000e+01,2.439001093750000487e-02
6.400000000000000000e+01,2.793520701923076291e-02
6.500000000000000000e+01,2.724526893939393721e-02
6.600000000000000000e+01,2.646509374999999470e-02
6.700000000000000000e+01,2.559617867647057815e-02
6.800000000000000000e+01,2.800742010869563745e-02
6.900000000000000000e+01,2.724235910714283698e-02
7.000000000000000000e+01,2.856828798415491158e-02
7.100000000000000000e+01,3.008306527777778600e-02
7.200000000000000000e+01,2.933518176369862354e-02
7.300000000000000000e+01,2.863199434121620895e-02
7.400000000000000000e+01,2.793850549999999863e-02
7.500000000000000000e+01,2.720851282894736628e-02
7.600000000000000000e+01,2.943116493506493445e-02
7.700000000000000000e+01,2.880297516025641727e-02
7.800000000000000000e+01,2.812761989715189398e-02
7.900000000000000000e+01,2.746091375000000653e-02
8.000000000000000000e+01,2.991923927469135672e-02
8.100000000000000000e+01,3.232457987804877864e-02
8.200000000000000000e+01,3.346037699548191913e-02
8.300000000000000000e+01,3.278264910714286107e-02
8.400000000000000000e+01,3.206734264705882187e-02
8.500000000000000000e+01,3.469153510174419197e-02
8.600000000000000000e+01,3.382166451149425102e-02
8.700000000000000000e+01,3.341234943181818628e-02
8.800000000000000000e+01,3.271059466292136619e-02
8.900000000000000000e+01,3.190332055555555879e-02
9.000000000000000000e+01,3.316368427197803614e-02
9.100000000000000000e+01,3.236251277173914087e-02
9.200000000000000000e+01,3.178029059139786394e-02
9.300000000000000000e+01,3.114793863031916493e-02
9.400000000000000000e+01,3.306140351973685387e-02
9.500000000000000000e+01,3.368894791666665611e-02
9.600000000000000000e+01,3.577742010309277465e-02
9.700000000000000000e+01,3.519047385204081280e-02
9.800000000000000000e+01,3.480897436868687911e-02
9.900000000000000000e+01,3.402181549999998278e-02
1.000000000000000000e+02,3.622684009900989377e-02
1.010000000000000000e+02,3.806938854166666553e-02
1.020000000000000000e+02,3.791440182038834095e-02
1.030000000000000000e+02,3.524696322115385139e-02
1.040000000000000000e+02,3.459522732142857049e-02
1.050000000000000000e+02,3.384810737028301486e-02
1.060000000000000000e+02,3.320797394859813234e-02
1.070000000000000000e+02,3.397023078703703680e-02
1.080000000000000000e+02,3.359094025229358849e-02
1.090000000000000000e+02,3.306104869318182704e-02
1.100000000000000000e+02,3.253560129504505516e-02
1.110000000000000000e+02,3.319265178571428887e-02
1.120000000000000000e+02,3.394540547566372857e-02
1.130000000000000000e+02,3.322484566885965107e-02
1.140000000000000000e+02,3.321885899456522573e-02
1.150000000000000000e+02,3.412085495689656800e-02
1.160000000000000000e+02,3.335292558760684367e-02
1.170000000000000000e+02,3.495665858050849006e-02
1.180000000000000000e+02,3.494241790966387540e-02
1.190000000000000000e+02,3.492852375000000953e-02
1.200000000000000000e+02,3.608047272727271659e-02
1.210000000000000000e+02,3.571927120901639829e-02
1.220000000000000000e+02,3.687003653455284136e-02
1.230000000000000000e+02,3.651010645161291424e-02
1.240000000000000000e+02,3.574210560000000425e-02
1.250000000000000000e+02,3.640812554563492565e-02
1.260000000000000000e+02,3.638631464074802702e-02
1.270000000000000000e+02,3.578188515624999844e-02
1.280000000000000000e+02,3.752618001453489338e-02
1.290000000000000000e+02,3.808100096153846370e-02
