# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.872600000000000389e-03
2.000000000000000000e+00,7.408518750000000694e-03
3.000000000000000000e+00,1.270656250000028599e-04
4.000000000000000000e+00,-7.118499999999852647e-05
5.000000000000000000e+00,1.970437500000115217e-04
6.000000000000000000e+00,-2.488928571427945007e-05
7.000000000000000000e+00,-8.054687500000499870e-05
8.000000000000000000e+00,-8.240555555555482850e-05
9.000000000000000000e+00,-5.952249999999865634e-05
1.000000000000000000e+01,1.439124999999998457e-04
1.100000000000000000e+01,-5.135833333333163176e-05
1.200000000000000000e+01,-8.102211538462314564e-05
1.300000000000000000e+01,-3.946964285714750378e-05
1.400000000000000000e+01,-1.361124999999779720e-05
1.500000000000000000e+01,1.054031249999975154e-04
1.600000000000000000e+01,1.683943014705839981e-04
1.700000000000000000e+01,-3.209340277778842279e-05
1.800000000000000000e+01,1.340019736841945443e-04
1.900000000000000000e+01,1.975831249999982354e-04
2.000000000000000000e+01,-3.013184523811258768e-05
2.100000000000000000e+01,1.633889204545295871e-04
2.200000000000000000e+01,-6.464619565218183788e-05
2.300000000000000000e+01,-4.492604166665119128e-05
2.400000000000000000e+01,-5.995999999997647472e-05
2.500000000000000000e+01,-8.148629807692119031e-05
2.600000000000000000e+01,-9.256666666666110591e-05
2.700000000000000000e+01,1.300861607142877042e-04
2.800000000000000000e+01,-3.624525862068707024e-05
2.900000000000000000e+01,-8.814041666666490890e-05
3.000000000000000000e+01,-6.573850806452493983e-05
3.100000000000000000e+01,-6.896249999999687190e-05
3.200000000000000000e+01,-4.873077651514882860e-05
3.300000000000000000e+01,1.303742647058818839e-04
3.400000000000000000e+01,-5.449142857142633047e-05
3.500000000000000000e+01,-3.640416666668384394e-05
3.600000000000000000e+01,1.081113175675467989e-04
3.700000000000000000e+01,-9.160855263182039938e-06
3.800000000000000000e+01,1.444045673076570636e-04
3.900000000000000000e+01,-4.196249999985203027e-06
4.000000000000000000e+01,1.332308689024486864e-04
4.100000000000000000e+01,-3.501130952380507224e-05
4.200000000000000000e+01,-8.309970930230300740e-05
4.300000000000000000e+01,-5.699886363634735858e-05
4.400000000000000000e+01,-7.960527777776554598e-05
4.500000000000000000e+01,-7.341154891304364587e-05
4.600000000000000000e+01,-6.028863031915493280e-05
4.700000000000000000e+01,-4.832604166665181603e-05
4.800000000000000000e+01,-7.969132653061196348e-05
4.900000000000000000e+01,-7.562875000000608499e-05
5.000000000000000000e+01,-7.199669117647328035e-05
5.100000000000000000e+01,1.682656249999802257e-04
5.200000000000000000e+01,-9.857771226415819126e-05
5.300000000000000000e+01,-3.618171296297084520e-05
5.400000000000000000e+01,-5.918346590908768316e-05
5.500000000000000000e+01,-6.196249999998705235e-05
5.600000000000000000e+01,-9.220482456140090223e-05
5.700000000000000000e+01,-9.775614224137010779e-05
5.800000000000000000e+01,1.781513771186542662e-04
5.900000000000000000e+01,-8.815520833333736952e-05
6.000000000000000000e+01,-3.213258196720321163e-05
6.100000000000000000e+01,-4.741713709676668878e-05
6.200000000000000000e+01,-1.202549603176383483e-05
6.300000000000000000e+01,1.364874999999875628e-04
6.400000000000000000e+01,1.967673076922859111e-04
6.500000000000000000e+01,1.227604166666424021e-04
6.600000000000000000e+01,-5.808241604480492094e-05
6.700000000000000000e+01,1.744829044117267715e-04
6.800000000000000000e+01,-8.669642210149513921e-05
6.900000000000000000e+01,1.024235714285308955e-04
7.000000000000000000e+01,-6.414669894367601313e-05
7.100000000000000000e+01,1.782156249999887888e-04
7.200000000000000000e+01,-8.378608732879073789e-05
7.300000000000000000e+01,1.716129222972927605e-04
7.400000000000000000e+01,-1.276200000000476790e-05
7.500000000000000000e+01,-3.696546052632246262e-05
7.600000000000000000e+01,-7.104586038960673691e-05
7.700000000000000000e+01,-5.849663461538452485e-05
7.800000000000000000e+01,1.412985759493666916e-04
7.900000000000000000e+01,-7.408437499999956290e-05
8.000000000000000000e+01,1.023579861111178205e-04
8.100000000000000000e+01,-9.762103658534905483e-05
8.200000000000000000e+01,1.114673192771336300e-04
8.300000000000000000e+01,-3.311488095237839660e-05
8.400000000000000000e+01,-1.420044117645289316e-05
8.500000000000000000e+01,-8.599433139535578156e-05
8.600000000000000000e+01,-2.665754310344182966e-05
8.700000000000000000e+01,-7.251392045454747664e-05
8.800000000000000000e+01,1.908338132022679014e-04
8.900000000000000000e+01,-6.318361111109488241e-05
9.000000000000000000e+01,1.046120535714403413e-04
9.100000000000000000e+01,-5.444592391305451309e-05
9.200000000000000000e+01,-5.360288978495908430e-05
9.300000000000000000e+01,-6.840086436169485833e-05
9.400000000000000000e+01,-4.160552631578471575e-05
9.500000000000000000e+01,1.487979166666901910e-04
9.600000000000000000e+01,-5.372905927830502943e-06
9.700000000000000000e+01,-4.681428571427900722e-05
9.800000000000000000e+01,1.837995265151603076e-04
9.900000000000000000e+01,-5.168324999997299342e-05
1.000000000000000000e+02,-5.158251856434599978e-05
1.010000000000000000e+02,-6.939411764705867352e-05
1.020000000000000000e+02,-6.445318567963570337e-05
1.030000000000000000e+02,-8.518197115380802978e-05
1.040000000000000000e+02,-2.915446428569096042e-05
1.050000000000000000e+02,1.137174528302141853e-04
1.060000000000000000e+02,-7.385277453270640085e-05
1.070000000000000000e+02,-5.692430555554260478e-05
1.080000000000000000e+02,-9.930920298165468534e-05
1.090000000000000000e+02,-5.873238636364658098e-05
1.100000000000000000e+02,1.734167229729798444e-04
1.110000000000000000e+02,1.483830357142522534e-04
1.120000000000000000e+02,-7.289186946945734624e-06
