# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.639406934933998916e-01
2.000000000000000000e+00,5.650372643239821580e-01
3.000000000000000000e+00,4.715565867422792934e-01
4.000000000000000000e+00,4.701787669697449767e-01
5.000000000000000000e+00,3.381859715086553697e-01
6.000000000000000000e+00,2.402169237966458593e-01
7.000000000000000000e+00,3.600532027472755914e-01
8.000000000000000000e+00,2.792694304984920106e-01
9.000000000000000000e+00,3.550085129913762017e-01
1.000000000000000000e+01,2.902198941807586641e-01
1.100000000000000000e+01,2.369090333133230530e-01
1.200000000000000000e+01,1.899871257614463016e-01
1.300000000000000000e+01,1.884903261621653781e-01
1.400000000000000000e+01,1.524182419308317271e-01
1.500000000000000000e+01,-1.315168799611942663e-01
1.600000000000000000e+01,-1.247825599962791160e-01
1.700000000000000000e+01,-1.161817030883573881e-01
1.800000000000000000e+01,-1.103150119050982092e-01
1.900000000000000000e+01,-8.592850456199788156e-02
2.000000000000000000e+01,-8.144469787606341271e-02
2.100000000000000000e+01,-6.308917578059956843e-02
2.200000000000000000e+01,-5.990772169097691863e-02
2.300000000000000000e+01,-4.120701693580376690e-02
2.400000000000000000e+01,-4.026483761338765788e-02
2.500000000000000000e+01,-2.694078715311603450e-02
2.600000000000000000e+01,-2.347671390710300010e-02
2.700000000000000000e+01,-2.320408291845883070e-02
2.800000000000000000e+01,-1.303413987734897660e-02
2.900000000000000000e+01,-1.252761890334426302e-02
3.000000000000000000e+01,-2.016990185879381087e-02
3.100000000000000000e+01,-1.962644240991092554e-02
3.200000000000000000e+01,-3.756917033268961092e-02
3.300000000000000000e+01,-3.664065201730803967e-02
3.400000000000000000e+01,-2.590727310680316850e-02
3.500000000000000000e+01,-2.551889532359075119e-02
3.600000000000000000e+01,-1.111950281359786047e-01
3.700000000000000000e+01,-1.079558138083213381e-01
3.800000000000000000e+01,-2.027314238630062437e-01
3.900000000000000000e+01,-1.969786522931940009e-01
4.000000000000000000e+01,-1.811511399439743319e-01
4.100000000000000000e+01,-1.719487258998675938e-01
4.200000000000000000e+01,-1.657282577470552409e-01
4.300000000000000000e+01,-1.566189609633680535e-01
4.400000000000000000e+01,-1.525624034193099332e-01
4.500000000000000000e+01,-1.596586950335573130e-01
4.600000000000000000e+01,-1.573002874027867870e-01
